code,theme,name,price,rating,pieces,vip_points,URL,scraped_on
41802,DOTS,Unicorns Forever Bracelet,5.99,,37.0,39,https://www.lego.com/en-us/product/unicorns-forever-bracelet-41802,2023-04-23
41803,DOTS,Extra DOTS Series 8 – Glitter and Shine,3.99,5.0,115.0,26,https://www.lego.com/en-us/product/extra-dots-series-8--glitter-and-shine-41803,2023-04-23
41805,DOTS,Creative Animal Drawer,24.99,4.9,643.0,162,https://www.lego.com/en-us/product/creative-animal-drawer-41805,2023-04-23
41806,DOTS,Ultimate Party Kit,49.99,4.4,1154.0,325,https://www.lego.com/en-us/product/ultimate-party-kit-41806,2023-04-23
41807,DOTS,Bracelet Designer Mega Pack,29.99,4.8,388.0,195,https://www.lego.com/en-us/product/bracelet-designer-mega-pack-41807,2023-04-23
41808,DOTS,Hogwarts™ Accessories Pack,14.99,,234.0,97,https://www.lego.com/en-us/product/hogwarts-accessories-pack-41808,2023-04-23
41809,DOTS,Hedwig™ Pencil Holder,19.99,,518.0,130,https://www.lego.com/en-us/product/hedwig-pencil-holder-41809,2023-04-23
41811,DOTS,Hogwarts™ Desktop Kit,44.99,2.3,856.0,292,https://www.lego.com/en-us/product/hogwarts-desktop-kit-41811,2023-04-23
41947,DOTS,Mickey & Friends Bracelets Mega Pack,34.99,,349.0,227,https://www.lego.com/en-us/product/mickey--friends-bracelets-mega-pack-41947,2023-04-23
41948,DOTS,Cute Banana Pen Holder,19.99,,438.0,130,https://www.lego.com/en-us/product/cute-banana-pen-holder-41948,2023-04-23
41950,DOTS,Lots of DOTS – Lettering,19.99,4.7,722.0,130,https://www.lego.com/en-us/product/lots-of-dots--lettering-41950,2023-04-23
41951,DOTS,Message Board,19.99,4.8,531.0,130,https://www.lego.com/en-us/product/message-board-41951,2023-04-23
41957,DOTS,Adhesive Patches Mega Pack,34.99,,486.0,227,https://www.lego.com/en-us/product/adhesive-patches-mega-pack-41957,2023-04-23
41959,DOTS,Cute Panda Tray,19.99,,517.0,130,https://www.lego.com/en-us/product/cute-panda-tray-41959,2023-04-23
41960,DOTS,Big Box,34.99,,479.0,227,https://www.lego.com/en-us/product/big-box-41960,2023-04-23
